Angle,LCR_Point_Source
,
1.679641884,0
6.607629428,38.05662385
12.63721292,38.39490074
17.75593616,39.02547035
23.96068509,39.73252887
28.70377579,40.64357078
33.62787077,41.45971195
38.7251849,42.80653951
44.00544959,44.15206955
48.73297003,45.71428571
53.27559362,47.38419619
57.99532892,49.37199948
62.16621253,51.36369534
65.96730245,53.57077981
69.75866096,56.30984819
72.83573375,58.09653562
75.17516543,60.20760348
79.92915531,0
85.25301674,0
92.20708447,0
98.60256909,0
105.74348,0
111.7750097,0
118.912028,0
126.4130012,0
133.5500195,0
140.6850915,0
146.5395095,0
152.9447256,0
160.2608019,0
166.4850136,0
173.8010899,0
181.2981705,0
