Angle,LCR_Real_properties
1.025830971,28.70072146
6.517328008,28.99768101
11.80913424,29.82929657
16.26191703,30.89120072
19.45213862,32.1077042
23.48460448,33.24658593
27.72803401,34.38514558
30.91020356,35.21998196
34.73170575,36.35918578
38.25,37.56
42.5856738,38.63727132
42.5856738,38.63727132
45.77267457,39.70110796
53.61698016,41.52119299
50.0161041,40.83966761
57.21946663,42.27905179
60.59971657,42.50289874
64.59997423,42.11511208
67.95606802,41.19395774
71.09636692,40.04412523
73.18023705,38.8195697
75.89055656,37.28871425
77.54605772,35.75946921
79.6202654,34.07691317
81.48511981,32.47101263
83.14384179,31.09443442
84.58032724,29.18384437
86.6529245,27.42495491
87.67392425,25.8203427
89.53716826,24.13810873
91.18783819,22.37986344
92.84172894,20.77428498
94.2814352,19.01636176
95.93532595,17.4107833
97.80179078,15.88121618
99.4508503,14.04663746
101.1079619,12.59372584
102.7618526,10.98814738
105.0486344,9.38160268
107.1260629,7.851713476
110.0441252,6.167869106
113.1795929,4.789036331
113.1795929,4.789036331
116.3198918,3.639203813
119.8837284,2.565060551
124.2978614,1.794962638
128.9293996,1.329876321
133.5625483,0.941123422
137.9927854,0.934359701
143.687194,0.84933007
148.3267843,0.765910848
153.6040969,0.910525638
158.0295027,0.674761659
162.6723138,0.744009276
167.5244782,0.736601391
172.378253,0.805526926
177.8649188,0.873486215
180.18874,1.022610152
