Angle,CSR=0,CSR=0.05,CSR=0.1,CSR=0.2,CSR=0.5,CSR=0.7,CSR=1.0
2.5,28.27590704,29.52217857,,28.27522847,30.58359827,29.89993888,27.91226959
7.5,29.63081092,31.44118673,30.70232429,30.01184031,32.0770602,31.00832929,28.24085969
12.5,34.88799888,34.7114148,33.36568143,33.34795316,34.02757184,31.45627337,27.95961061
17.5,36.67544388,35.78585367,35.68145276,35.06305612,34.58236306,32.75136684,28.04047408
22.5,37.87744847,37.22511041,36.68169031,36.58236878,35.26039959,32.82936929,28.1479799
27.5,38.85161602,37.90446061,37.88547827,37.69958153,35.51130939,33.20476051,27.3980599
32.5,39.62004908,39.00239847,38.64879255,38.45059153,35.92638469,33.03944602,26.96124969
37.5,40.10935357,39.75454776,39.7027849,39.35748367,36.45180969,32.83284948,26.34404653
42.5,41.08444214,40.75631837,40.38922357,39.86372827,36.86084235,33.03151653,25.2054549
47.5,42.13650714,43.32599582,42.25286153,41.61866827,37.53041204,33.21801204,24.33352122
52.5,45.26868796,46.19755449,44.58210633,43.59552633,37.59036949,33.36470286,23.26356663
57.5,48.78291622,47.99314459,46.40950531,45.25201867,37.63171071,33.03010418,21.37093918
62.5,50.90895571,48.50082704,47.31582714,45.80889786,36.84385704,31.39942347,19.57895459
67.5,48.19815418,47.07844786,45.10741888,42.98153765,34.60357337,29.75402316,18.28081633
72.5,42.13060082,40.419145,38.93520102,37.11145398,30.45725954,26.91359561,17.33436673
77.5,34.08960929,32.4005499,32.44563929,31.13175214,26.26293082,22.82702367,15.36213398
82.5,25.394195,25.64776143,24.57472163,23.71362776,21.44529653,18.8740198,13.96809714
87.5,16.78358663,17.81797194,16.98334857,18.0242298,16.33948429,14.92429418,12.43123235
92.5,9.822092653,10.11846265,10.61885469,10.62888347,12.44328459,12.00441867,10.91346755
97.5,4.127993469,4.792193367,5.737962857,5.864751122,8.396195,9.561670816,10.06361163
102.5,0.880388673,1.609513367,1.822078673,2.721082653,5.895087959,7.166403571,9.059960612
107.5,0.242603061,0.682329082,0.981192041,1.968720918,4.128942143,5.688027653,7.351109796
112.5,0.259310816,0.545681531,0.989603776,1.654162347,3.120002857,4.446498469,6.145078367
117.5,0.306156735,0.561012449,0.938943163,1.298278571,2.502675,3.543137143,5.105519796
122.5,0.39440102,0.501956327,0.809705612,1.22127051,2.145898367,2.879267041,4.165085918
127.5,0.510870612,0.635295408,0.705266122,1.001055306,1.947878673,2.280276837,3.677267245
132.5,0.65038102,0.555153673,0.73710949,0.843681837,1.592803163,2.036653571,2.879531735
137.5,0.598011633,0.730301837,0.835204694,0.736830612,1.172358673,1.599914592,2.416260816
142.5,0.623832755,0.687046837,0.863060306,0.810235714,1.043283673,1.42038449,1.807211633
147.5,0.793371735,0.541066122,0.855895918,0.754266429,0.982039184,1.049771327,1.502853367
152.5,0.609472041,0.569991735,0.891100408,0.754044694,0.795376122,1.174536224,1.138153673
157.5,0.688772551,0.856115918,0.632978163,0.721109388,0.860143878,0.795497959,1.041821327
162.5,0.817818776,0.838401939,0.894572755,0.981705204,0.588232347,0.979443878,0.878790204
167.5,0.813225204,0.850433469,0.720077959,0.72253602,0.623594082,0.795868776,0.775626327
172.5,0.741377551,0.672832347,0.945191429,0.698797245,0.663070102,0.675098673,0.796017755
177.5,1.017848061,0.906782551,0.747190714,0.675875918,0.672643469,0.941776327,0.806750102
