Angle,Bare_receiver_CSR=0.0,Bare_receiver_CSR=0.05,With_Glass_tube=0.05,With_Glass_tube_Coating=0.05
2.5,37.73407735,37.27529395,35.01035698,33.90331075
7.5,38.18177813,37.72356502,35.3147879,34.38980647
12.5,39.50200685,39.20581423,37.60368961,36.44198654
17.5,41.59321984,41.71806899,39.80499041,38.828414
22.5,43.03148643,42.7781694,41.5898911,40.45322293
27.5,44.39931361,44.23040863,42.60561012,41.61926612
32.5,45.49147541,45.28379065,44.2058983,43.27354386
37.5,46.7344471,46.74324189,45.55101236,44.578789
42.5,47.89818069,47.63432667,46.23004878,45.49281787
47.5,49.74588647,48.5893008,47.39789899,46.32318961
52.5,51.27028843,49.65853064,48.12872164,47.29824146
57.5,52.12735374,49.51384086,47.94017234,47.56001442
62.5,52.7663194,47.98241475,46.20613032,45.16328007
67.5,50.1007485,45.90094715,43.22070912,42.56703589
72.5,46.17413504,41.04471956,37.57262137,37.02625816
77.5,38.38382576,33.99700511,31.42040259,31.86278777
82.5,29.05715763,28.32639092,26.41418283,25.1229214
87.5,18.94039666,20.15338691,19.59552789,18.49543301
92.5,11.51943378,14.7436923,13.50172776,13.27876258
97.5,6.618036324,9.406909486,9.355140228,9.084837018
102.5,2.985606072,6.073949606,5.507616544,5.760856025
107.5,1.631723527,3.582651514,3.711229942,3.570242771
112.5,1.001710539,2.759622006,1.978293394,2.02143896
117.5,1.112290752,1.844507353,1.626927995,1.798605882
122.5,0.796490261,1.392480449,0.967760178,1.259937871
127.5,0.696964559,1.108957111,0.922872742,1.140643752
132.5,0.923995325,0.844495799,0.879473306,1.004766423
137.5,0.825004139,0.875919793,0.715903261,0.990236282
142.5,0.881706917,0.993020742,0.930283079,0.790906677
147.5,0.808696908,0.852576086,0.866224514,0.730778598
152.5,0.783237803,0.972193292,0.851215187,0.688136772
157.5,0.993067627,0.966765141,0.979782061,0.795106142
162.5,0.82825323,0.746203116,0.797855271,0.88844386
167.5,0.920379372,0.941802777,1.018424962,0.919365003
172.5,0.97041198,0.974550561,0.804291458,0.88783235
177.5,1.002851343,0.876748731,0.825334225,0.756053938
