C1,C2
290,0.000721
310,0.85465
330,4.25454
350,6.31028
370,9.058585
390,10.671195
410,18.19868
430,19.25119
450,24.692
470,26.5819
490,26.648
510,26.4366
530,27.0826
550,27.0782
570,26.7366
590,26.4303
610,26.4049
630,25.7476
650,25.1383
670,25.4607
690,23.08925
710,22.50797
730,20.84922
750,21.63256
770,17.80612
790,20.58674
810,18.39379
830,17.46857
850,18.09642
870,17.70635
890,15.90274
910,12.81398
930,8.89234
950,6.5169
970,10.90962
990,13.77812
1010,13.48123
1030,12.93903
1050,12.32708
1070,11.59147
1090,10.52328
1110,6.573134
1130,2.912234
1150,4.293485
1170,8.03639
1190,8.2443
1210,8.38548
1230,8.8018
1250,8.61252
1270,7.56619
1290,7.73652
1310,6.29275
1330,4.2053
1350,0.792878
1370,0.002126
1390,0.00386
1410,0.106768
1430,0.576008
1450,1.439389
1470,1.588202
1490,3.123263
1510,4.63138
1530,5.25338
1550,5.2471
1570,4.84035
1590,4.83054
1610,4.51251
1630,4.55574
1650,4.28723
1670,4.15226
1690,4.17367
1710,4.31182
1730,3.32545
1750,3.0903
1770,2.391265
1790,1.19504
1810,0.140681
1830,0.006289
1850,0.000101
1870,0.000464
1890,0.001955
1910,0.002437
1930,0.041232
1950,0.29322
1970,1.085665
1990,1.415135
2010,0.621325
2030,1.696955
2050,1.393875
2070,1.43755
2090,1.72458
2110,1.7834
2130,1.76897
2150,1.689895
2170,1.579025
2190,1.496855
2210,1.514705
2230,1.472785
2250,1.369765
2270,1.301765
2290,1.218595
2310,1.15375
2330,1.072925
2350,0.94348
2370,0.826275
2390,0.75599
2410,0.60103
2430,0.67609
2450,0.46016
2470,0.325058
2490,0.094886
2510,0.02302
2530,0.000212
2550,0
2570,0
2590,0
2610,0
2630,0
2650,0
2670,0
2690,0
2710,0
2730,0
2750,0
2770,0
2790,0
2810,0
2830,0.000022
2850,0.000342
2870,0.004116
2890,0.020838
2910,0.035374
2930,0.076391
2950,0.068906
2970,0.050539
2990,0.148647
3010,0.080614
3030,0.091608
3050,0.059868
3070,0.072366
3090,0.046548
3110,0.070049
3130,0.119092
3150,0.125293
3170,0.234316
3190,0.078043
3210,0.012887
3230,0.058444
3250,0.073184
3270,0.062813
3290,0.11541
3310,0.040039
3330,0.104437
3350,0.103127
3370,0.124687
3390,0.199014
3410,0.1616
3430,0.193421
3450,0.218759
3470,0.223442
3490,0.235735
3510,0.23912
3530,0.206858
3550,0.20114
3570,0.191404
3590,0.194018
3610,0.205907
3630,0.211145
3650,0.21433
3670,0.157476
3690,0.201807
3710,0.19971
3730,0.187931
3750,0.188259
3770,0.182308
3790,0.177216
3810,0.17548
3830,0.179463
3850,0.171114
3870,0.144231
3890,0.145712
3910,0.145398
3930,0.143692
3950,0.153583
3970,0.152289
3990,0.11033
